qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18
427,UV damage  eyes ,0.1582,10,relevancefeedback.topn10.qld,0.3084,uv damage  eyes protect pound ozon ash america ey star do ,sensedisambiguation.replace,0.2809,ultraviolet wrong   eye ,sensedisambiguation,0.2575,UV ultraviolet damage wrong   eyes eye ,conceptnet.topn3,0.2027,uv damage eyes ultraviolet uvc harm corrode reading a newspaper head face ,glove.topn3,0.1999,uv damage eyes ultraviolet sunlight caused lips ,word2vec.topn3,0.1985,uv damage eyes ultra violet ultraviolet UV damange harm ears half shut ,wordnet.topn3,0.1984,uv damage eyes UV ultraviolet illumination ultraviolet equipment casualty price center eyeball ,tagmee.topn3,0.1979,uv damage eyes Ultraviolet Diabetic retinopathy ,conceptluster.topn5.3.qld,0.1979,uv damage eyes diabetic retinopathy ultraviolet ,anchor.topn3,0.1918,uv damage eyes photocycl irradiation  ultraviolet ,,,,,,,,,,,,,,,,,,,,,,,,
428,declining birth rates ,0.2168,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Legionnaires  disease ,0.4432,6,glove.topn3,0.5621,legionnaires disease ooooooooooooooooooooooooooooooooooooooo illness ,conceptnet.topn3,0.54,legionnaires disease legionnaires disease illness ,conceptnet.topn3.replace,0.4694,legionnaires illness ,word2vec.topn3,0.4482,legionnaires disease infection ,sensedisambiguation,0.4478,Legionnaires legionnaire   disease ,termluster.topn5.3.qld,0.4478,legionnaires disease diseas legionnair ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,killer bee attacks ,0.603,6,anchor.topn3,0.6982,killer bee attacks obrechyonnykh pre retir   organized   cormansi jongrachatawiboon  dahliatown ,tagmee.topn3,0.6736,killer bee attacks Africanized bee September    attacks ,conceptluster.topn5.3.qld,0.6736,killer bee attacks september    attacks africanized bee ,termluster.topn5.3.qld,0.6508,killer bee attacks african bee said african killer said ,relevancefeedback.topn10.qld,0.6444,killer bee attacks have ,tagmee.topn3.replace,0.6131,Africanized bee September    attacks ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,robotic technology ,0.4749,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,profiling  motorists  police ,0.0018,12,tagmee.topn3,0.022000000000000002,profiling motorists police Racial profiling Driving Police ,conceptluster.topn5.3.qld,0.022000000000000002,profiling motorists police driving police racial profiling ,tagmee.topn3.replace,0.0167,Racial profiling Driving Police ,word2vec.topn3,0.0135,profiling motorists police pedestrians cops policemen ,wiki.topn3,0.0112,profiling motorists police findlaw hatcrime mumia abu jamal Racial profiling seat belt auto mechanic moped Driving publisafety crime prevention law enforcement Police ,conceptnet.topn3,0.0101,profiling motorists police identification chief ,glove.topn3,0.0049,profiling motorists police stereotyping k      pedestrians drivers officers policemen ,wordnet.topn3,0.0048,profiling motorists police automobilist law patrol ,word2vec.topn3.replace,0.0041,profiling pedestrians cops policemen ,wiki.topn3.replace,0.0037,findlaw hatcrime mumia abu jamal Racial profiling seat belt auto mechanic moped Driving publisafety crime prevention law enforcement Police ,relevancefeedback.topn10.qld,0.0037,profiling  motorists  police drug court toll polic said penalti nunn black park ,wordnet.topn3.replace,0.0019,profiling automobilist constabulary patrol police force ,,,,,,,,,,,,,,,,,,
433,Greek  philosophy  stoicism ,0.1381,1,stem.krovetz,0.1975,greece   philosophy   stoicism ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Estonia  economy ,0.3882,2,termluster.topn5.3.qld,0.4984,estonia economy economi invest kroon kroon invest estonia ,relevancefeedback.topn10.qld,0.4625,estonia  economy invest price estonia bank per have our percent he ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,curbing population growth ,0.0693,5,docluster.topn10.3.qld,0.1674,curbing population growth countri popul ,relevancefeedback.topn10.qld,0.1607,curbing population growth popul countri should per ,stem.trunc5,0.1259,curbi popul growt ,termluster.topn5.3.qld,0.1203,curbing population growth world women countri develop ,conceptnet.topn3,0.0922,curbing population growth people number morphogenesis foliation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,railway accidents ,0.0488,3,glove.topn3,0.0763,railway accidents rail railroad fatalities ,word2vec.topn3,0.0672,railway accidents railroad fatalities incidents ,conceptnet.topn3,0.0603,railway accidents railroad happen anytime happen to anybody moving a car ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,deregulation  gas  electric ,0.0346,1,termluster.topn5.3.qld,0.0379,deregulation gas electric would price industri power market gener ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,tourism  increase ,0.222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,inventions  scientific discoveries ,0.0146,5,wiki.topn3,0.0166,inventions scientific discoveries inventions statof thart signature Invention science technology physics Science consilience memetics     s Discovery  observation ,sensedisambiguation,0.0159,inventions invention   scientific discoveries discovery ,glove.topn3,0.0154,inventions scientific discoveries innovations research science inventions ,tagmee.topn3,0.0151,inventions scientific discoveries Invention Science Discovery  observation ,conceptluster.topn5.3.qld,0.0151,inventions scientific discoveries science discovery observation invention ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,child labor ,0.0867,5,wiki.topn3,0.1721,child labor debt bondage sweatshop exploitation Child labour ,tagmee.topn3.replace,0.1494,Child labour ,wiki.topn3.replace,0.1293,debt bondage sweatshop exploitation Child labour ,tagmee.topn3,0.0949,child labor Child labour ,conceptluster.topn5.3.qld,0.0949,child labor child labour ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Lyme disease ,0.4443,3,docluster.topn10.3.qld,0.4614,lyme disease tick diseas ,termluster.topn5.3.qld,0.456,lyme disease diseas tick tick lyme ,relevancefeedback.topn10.qld,0.4484,lyme disease tick diseas arthriti percent repel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,heroic acts ,0.0179,10,glove.topn3.replace,0.1003,heroism hero such ,glove.topn3,0.086,heroic acts heroism hero such ,thesaurus.topn3,0.0389,heroic acts  bold courageous  action deed ,stem.lovins,0.033,hero act ,stem.paicehusk,0.033,hero act ,stem.trunc4,0.033,hero acts ,word2vec.topn3,0.0321,heroic acts heroism courageous valiant actions crimes ,relevancefeedback.topn10.qld,0.0259,heroic acts he hunt our we nation uniti honggang ,word2vec.topn3.replace,0.0255,heroism courageous valiant actions crimes ,sensedisambiguation,0.0216,heroic heroic verse acts act ,,,,,,,,,,,,,,,,,,,,,,,,
443,U S   investment  Africa ,0.0122,13,tagmee.topn3,0.0993,u s  investment africa United States dollar Foreign direct investment Africa ,termluster.topn5.3.qld,0.0847,u s  investment africa year new market south compani econom ,sensedisambiguation.replace,0.0717,united states government   investment   africa ,wiki.topn3,0.0688,u s  investment africa      introductions currencies of the kingdom of the netherlands historical currencies of the united states United States dollar economic policy international financcorporation capital market Foreign direct investment africa asia regions of africa Africa ,docluster.topn10.3.qld,0.0644,u s   investment  africa percent south invest ,relevancefeedback.topn10.qld,0.0592,u s   investment  africa percent south mobil invest ,word2vec.topn3.replace,0.0534,usa u s american investment african africans africa ,tagmee.topn3.replace,0.0469,United States dollar Foreign direct investment Africa ,word2vec.topn3,0.0428,u s  investment africa usa u s american african africans africa ,wiki.topn3.replace,0.0331,introductions currencies of the kingdom of the netherlands historical currencies of the united states United States dollar economic policy international financcorporation capital market Foreign direct investment africa asia regions of africa Africa ,conceptluster.topn5.3.qld,0.0214,u s  investment africa united states dollar foreign direct investment ,wordnet.topn3.replace,0.0165,U S  government the States investiture investment funds africa ,glove.topn3.replace,0.0161,us u s investment african continent ,,,,,,,,,,,,,,,
444,supercritical fluids ,0.47600000000000003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,women clergy ,0.1793,1,termluster.topn5.3.qld,0.2279,women clergy church ordin could ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,tourists  violence ,0.1689,2,docluster.topn10.3.qld,0.3178,tourists  violence govern tourist egypt ,relevancefeedback.topn10.qld,0.2112,tourists  violence tourist u  we belfast violenc govern egypt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Stirling engine ,0.0909,2,relevancefeedback.topn10.qld,0.25,stirling engine hi cryocool solar develop elect air util said irvin ,termluster.topn5.3.qld,0.1015,stirling engine engin design stirl design ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,ship losses ,0.0159,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,antibiotics ineffectiveness ,0.0654,4,tagmee.topn3.replace,0.0946,Antibiotics ,tagmee.topn3,0.0718,antibiotics ineffectiveness Antibiotics ,sensedisambiguation,0.0718,antibiotics antibiotic ineffectiveness ,conceptluster.topn5.3.qld,0.0718,antibiotics ineffectiveness antibiotics ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,King Hussein  peace ,0.28,8,wiki.topn3,0.4126,king hussein peace jordanian aviators cancer deaths in jordan recipients of the national order of equatorial guinea Hussein of Jordan egalitarianism global civics civil disobedience Peace ,anchor.topn3,0.3573,king hussein peace      a irivabedanga sveigðisson emadeldeen    ibrahim abdul husayn ,docluster.topn10.3.qld,0.3518,king hussein  peace hi ha peac mr ,termluster.topn5.3.qld,0.3448,king hussein peace arab hussein israel arab israel jordan said palestinian king ,tagmee.topn3,0.3397,king hussein peace Hussein of Jordan Peace ,conceptluster.topn5.3.qld,0.3397,king hussein peace peace hussein jordan ,tagmee.topn3.replace,0.3287,Hussein of Jordan Peace ,wiki.topn3.replace,0.2938,jordanian aviators cancer deaths in jordan recipients of the national order of equatorial guinea Hussein of Jordan egalitarianism global civics civil disobedience Peace ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Turkey Iraq water ,0.51,1,sensedisambiguation,0.6595,Turkey Iraq water water system ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Czech  Slovak sovereignty ,0.2671,3,stem.lovins,0.2899,czech   slovak sovereignt ,termluster.topn5.3.qld,0.2843,czech slovak sovereignty feder slovak republ czech feder republ ,glove.topn3,0.2762,czech slovak sovereignty slovak republic slovakian czech territorial asserting ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,Tobacco cigarette lawsuit ,0.2562,2,stem.paicehusk,0.2961,tobacco cigaret lawsuit ,conceptluster.topn5.3.qld,0.2599,tobacco cigarette lawsuit lawsuit cigarette ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,Lyme disease arthritis ,0.8264,2,thesaurus.topn3,0.8859999999999999,lyme disease arthritis   Cancer bug ,thesaurus.topn3.replace,0.8834,lyme  Cancer bug arthritis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Great Britain health care ,0.0605,1,termluster.topn5.3.qld,0.0686,great britain health care care system hospit health system hospit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,leg traps ban ,0.3045,1,sensedisambiguation,0.3096,leg stage traps trap ban banish ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,human genetic code ,0.2341,11,relevancefeedback.topn10.qld,0.4398,human genetic code genet gene apo dna cell ap ,wiki.topn3.replace,0.4386,apes humans tool using species Human epigenetics genetic epidemiology human genetic clustering Human genetics lambda phage nucleic acid mutagenesis Genetic code ,docluster.topn10.3.qld,0.4213,human genetic code gene dna ,stem.lovins,0.3969,human genet cod ,wiki.topn3,0.3757,human genetic code apes humans tool using species Human epigenetics genetic epidemiology human genetic clustering Human genetics lambda phage nucleic acid mutagenesis Genetic code ,tagmee.topn3.replace,0.3258,Human Human genetics Genetic code ,anchor.topn3,0.3247,human genetic code placentophagy human  hmpv    full bodi peykulah dha hanu         atcvet бч ,termluster.topn5.3.qld,0.3242,human genetic code diseas genet research research make human ,tagmee.topn3,0.2929,human genetic code Human Human genetics Genetic code ,conceptluster.topn5.3.qld,0.2929,human genetic code genetic code human human genetics ,glove.topn3,0.2529,human genetic code rights beings mutation dna gaacx ,,,,,,,,,,,,,,,,,,,,,
608,taxing social security ,0.0483,1,termluster.topn5.3.qld,0.0597,taxing social security would social secur rate secur tax would tax social ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,per capita alcohol consumption ,0.3102,1,relevancefeedback.topn10.qld,0.318,per capita alcohol consumption wine product diet increas incom she beer ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,minimum wage adverse impact ,0.0387,6,tagmee.topn3.replace,0.0672,Minimum wage ,tagmee.topn3,0.0555,minimum wage adverse impact Minimum wage ,conceptluster.topn5.3.qld,0.0555,minimum wage adverse impact minimum wage ,docluster.topn10.3.qld,0.049,minimum wage adverse impact said ,stem.porter,0.0486,minimum wage advers impact ,stem.porter2,0.0486,minimum wage advers impact ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,Kurds Germany violence ,0.2621,7,glove.topn3,0.3378,kurds germany violence kurdish sunnis german berlin violent bloodshed ,relevancefeedback.topn10.qld,0.3101,kurds germany violence kurd govern had pkk turkei extremist german ,wiki.topn3.replace,0.2996,Kurds in Germany ,tagmee.topn3.replace,0.2996,Kurds in Germany ,wiki.topn3,0.299,kurds germany violence Kurds in Germany ,tagmee.topn3,0.299,kurds germany violence Kurds in Germany ,conceptluster.topn5.3.qld,0.299,kurds germany violence kurds germany ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,Tibet protesters ,0.45,4,termluster.topn5.3.qld,0.5285,tibet protesters china chines new tibetan pro independ ,glove.topn3,0.526,tibet protesters tibetan tibetans demonstrators protestors ,relevancefeedback.topn10.qld,0.517,tibet protesters tibetan polic lama china chines ,docluster.topn10.3.qld,0.4823,tibet protesters china tibetan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,Berlin wall disposal ,0.2095,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,Flavr Savr tomato ,0.0537,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,timber exports Asia ,0.128,12,glove.topn3,0.413,timber exports asia logging lumber imports asian europe ,conceptluster.topn5.3.qld,0.2883,timber exports asia lumber export ,wordnet.topn3.replace,0.2871,forest tone timberland exports asia ,tagmee.topn3,0.2597,timber exports asia Lumber Export Asia ,termluster.topn5.3.qld,0.2503,timber exports asia export timber ,glove.topn3.replace,0.2102,logging lumber imports asian europe ,wiki.topn3,0.2045,timber exports asia logging sawmill hay Lumber import servic economics  food processing Export north america africa north america Asia ,tagmee.topn3.replace,0.1705,Lumber Export Asia ,sensedisambiguation,0.1524,timber timbre exports export Asia ,stem.lovins,0.1447,timber export as ,word2vec.topn3,0.1391,timber exports asia lumber wood imports asia  europe asian ,thesaurus.topn3,0.1333,timber exports asia  forest hardwood  dump ship  the East ,,,,,,,,,,,,,,,,,,
616,Volkswagen Mexico ,0.7257,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,Russia Cuba economy ,0.2581,1,glove.topn3,0.2732,russia cuba economy russian ukraine cuban havana economic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,Ayatollah Khomeini death ,0.1995,13,word2vec.topn3,0.4259,ayatollah khomeini death marja Khomeni khamenei Khomenei dying ,glove.topn3.replace,0.2794,khamenei khomeini ruhollah ayatollah died dead ,anchor.topn3,0.2726,ayatollah khomeini death khooyi ayahtolla abd os samad ghods e iran khoemini khomeini  al jamadi phonphanit qorayshi ,glove.topn3,0.2686,ayatollah khomeini death khamenei khomeini ruhollah ayatollah died dead ,sensedisambiguation.replace,0.2489,ayatollah khomeini end ,conceptnet.topn3,0.243,ayatollah khomeini death religious leader Ayatollah Ruholla Khomeini khomeinist killing life a war ,thesaurus.topn3.replace,0.2426,ayatollah khomeini  afterlife annihilation ,conceptnet.topn3.replace,0.2402,religious leader Ayatollah Ruholla Khomeini khomeinist killing life a war ,wordnet.topn3.replace,0.23399999999999999,ayatollah Ayatollah Ruholla Khomeini Ayatollah Khomeini decease demise ,word2vec.topn3.replace,0.2201,marja Khomeni khamenei Khomenei dying ,sensedisambiguation,0.2163,Ayatollah Khomeini death end ,wordnet.topn3,0.2131,ayatollah khomeini death Ayatollah Ruholla Khomeini Ayatollah Khomeini decease dying ,termluster.topn5.3.qld,0.207,ayatollah khomeini death khomeini death state ayatollah death state ayatollah khomeini state ,,,,,,,,,,,,,,,
619,Winnie Mandela scandal ,0.5909,2,docluster.topn10.3.qld,0.6286,winnie mandela scandal her ,relevancefeedback.topn10.qld,0.6166,winnie mandela scandal her hi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,France nuclear testing ,0.0499,5,glove.topn3,0.1192,france nuclear testing french paris atomic weapons ,conceptnet.topn3,0.1136,france nuclear testing country Paris Europe atomic ,conceptnet.topn3.replace,0.1114,country Paris Europe atomic testing ,termluster.topn5.3.qld,0.0648,france nuclear testing unit test nuclear franc test unit unit nuclear franc ,wiki.topn3,0.0632,france nuclear testing france southern europe italy France list of nuclear test sites lists of nuclear disasters and radioactivincidents operation plumbbob Nuclear weapons testing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,women ordained Church of England ,0.3047,6,tagmee.topn3.replace,0.4477,Ordination Church of England ,tagmee.topn3,0.4041,women ordained church england Ordination Church of England ,conceptluster.topn5.3.qld,0.3645,women ordained church england ordination ,wiki.topn3,0.3578,women ordained church england christian ordination laity deacon Ordination christian denominations founded in great britain church of england anglican communion church bodies Church of England ,wiki.topn3.replace,0.3252,christian ordination laity deacon Ordination christian denominations founded in great britain church of england anglican communion church bodies Church of England ,termluster.topn5.3.qld,0.3249,women ordained church england church priest would priest women would church could ordin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,price fixing ,0.0281,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,toxic chemical weapon ,0.3162,3,wiki.topn3.replace,0.4126,lethal dose precursor  chemistry  intraperitoneal injection Toxicity male mediated teratogens sarin chemical weapons convention Chemical weapon ,wiki.topn3,0.4005,toxic chemical weapon lethal dose precursor  chemistry  intraperitoneal injection Toxicity male mediated teratogens sarin chemical weapons convention Chemical weapon ,docluster.topn10.3.qld,0.3194,toxic chemical weapon chemic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,SDI Star Wars ,0.2452,5,termluster.topn5.3.qld,0.3218,sdi star wars missil said star missil said sdi year would system ,conceptluster.topn5.3.qld,0.3063,sdi star wars strategic defense initiative ,conceptnet.topn3,0.2921,sdi star wars strategic defense initiative sun violence force ,tagmee.topn3,0.2692,sdi star wars Strategic Defense Initiative Star Wars ,tagmee.topn3.replace,0.2566,Strategic Defense Initiative Star Wars ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,arrests bombing WTC ,0.0317,11,tagmee.topn3.replace,0.1179,Arrest Bomb World Trade Center ,docluster.topn10.3.qld,0.0731,arrests bombing wtc new trade exchang mr ,anchor.topn3,0.0668,arrests bombing wtc pilishvili aldeobaldia towers phas ,wiki.topn3,0.0631,arrests bombing wtc law enforcement agency powers assault trial Arrest trinitrotoluene dynamite bombs Bomb World Trade Center ,tagmee.topn3,0.0606,arrests bombing wtc Arrest Bomb World Trade Center ,conceptluster.topn5.3.qld,0.0606,arrests bombing wtc arrest world trade center           bomb ,anchor.topn3.replace,0.0601,arrests bombing pilishvili aldeobaldia towers phas ,conceptnet.topn3,0.0448,arrests bombing wtc drunk driving World Trade Center linguistics world trade center ,wordnet.topn3,0.0445,arrests bombing wtc taking into custody hold back nail fail bombardment bombard World Trade Center twin towers ,sensedisambiguation,0.042,arrests arrest bombing fail WTC world trade center ,relevancefeedback.topn10.qld,0.034,arrests bombing wtc jordan arhu new exchang trade report mr compani year ,,,,,,,,,,,,,,,,,,,,,
626,human stampede ,0.1372,3,tagmee.topn3.replace,0.2963,Stampede ,tagmee.topn3,0.2497,human stampede Stampede ,conceptluster.topn5.3.qld,0.2497,human stampede stampede ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Russian food crisis ,0.0066,3,word2vec.topn3,0.0362,russian food crisis ukrainian soviet Rusian foodstuffs crises catastrophe ,glove.topn3,0.0102,russian food crisis russia moscow supplies turmoil crises ,stem.krovetz,0.0068,russia food crisis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,U S  invasion of Panama ,0.1862,12,docluster.topn10.3.qld,0.3281,u s  invasion of panama noriega ,tagmee.topn3,0.3104,u s  invasion panama United States invasion of Panama ,conceptluster.topn5.3.qld,0.3104,u s  invasion panama united states invasion panama ,wiki.topn3,0.2932,u s  invasion panama      in panama      in panama operation golden pheasant United States invasion of Panama ,termluster.topn5.3.qld,0.2399,u s  invasion panama troop said presid american forc invas ,tagmee.topn3.replace,0.2298,United States invasion of Panama ,relevancefeedback.topn10.qld,0.2281,u s  invasion of panama have american u  noriega offici drug ,wiki.topn3.replace,0.2191,in panama      in panama operation golden pheasant United States invasion of Panama ,anchor.topn3,0.203,u s  invasion panama us  c      alphabet elongatopothyn chlorotocella sorosporium tusia panama histori guatemala ,sensedisambiguation.replace,0.2004,united states government invasion of panama ,sensedisambiguation,0.18899999999999997,U S  united states government invasion of Panama ,thesaurus.topn3,0.1872,u s  invasion panama  America Columbia  aggression assault  fedora headgear ,,,,,,,,,,,,,,,,,,
629,abortion clinic attack ,0.1288,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Gulf War Syndrome ,0.5446,2,wiki.topn3,0.6034,gulf war syndrome gulf war syndrome borden institute united states army medical research institutof chemical defense Gulf War syndrome ,wiki.topn3.replace,0.5725,gulf war syndrome borden institute united states army medical research institutof chemical defense Gulf War syndrome ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,Mandela South Africa President ,0.1541,6,tagmee.topn3.replace,0.1734,Nelson Mandela Union of South Africa President of Mexico ,tagmee.topn3,0.1657,mandela south africa president Nelson Mandela Union of South Africa President of Mexico ,conceptluster.topn5.3.qld,0.1657,mandela south africa president union south africa president mexico nelson mandela ,relevancefeedback.topn10.qld,0.1653,mandela south africa president we ,sensedisambiguation,0.1638,Mandela South Africa President president of the united states ,wordnet.topn3,0.1603,mandela south africa president Nelson Mandela Nelson Rolihlahla Mandela due south to the south in the south United States President President of the United States prexy ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,southeast Asia tin mining ,0.2296,8,termluster.topn5.3.qld,0.4392,southeast asia tin mining malaysia mine price year world tonn ,tagmee.topn3.replace,0.391,Southeast Asia Tin Tin mining ,tagmee.topn3,0.3573,southeast asia tin mining Southeast Asia Tin Tin mining ,conceptluster.topn5.3.qld,0.3573,southeast asia tin mining southeast asia tin mining tin ,wiki.topn3.replace,0.3264,southeast asia brunei laos Southeast Asia tin manganese iron Tin tin sources and tradin ancient times traditional mining capcornwall mine Tin mining ,sensedisambiguation.replace,0.3255,southeasterly asia tin mining ,wiki.topn3,0.3236,southeast asia tin mining southeast asia brunei laos Southeast Asia tin manganese iron Tin tin sources and tradin ancient times traditional mining capcornwall mine Tin mining ,wordnet.topn3,0.2995,southeast asia tin mining southeastward south east southeasterly Sn cannister tin can minelaying excavation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Welsh devolution ,0.4929,2,relevancefeedback.topn10.qld,0.6062,welsh devolution wale ireland he mr cent would labour major ,glove.topn3,0.5416,welsh devolution wales scottish decentralization decentralisation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,L tryptophan deaths ,0.7314,4,tagmee.topn3,0.7409,l tryptophan deaths Tryptophan Mortality rate ,conceptluster.topn5.3.qld,0.7409,l tryptophan deaths mortality rate tryptophan ,word2vec.topn3.replace,0.7344,l tryptophan fatalities killings ,sensedisambiguation,0.7341,L tryptophan deaths end ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,doctor assisted suicides ,0.509,6,docluster.topn10.3.qld,0.6626,doctor assisted suicides he adkin said ,relevancefeedback.topn10.qld,0.6515,doctor assisted suicides he said harper suicid kevorkian adkin she pkk ,conceptnet.topn3,0.5414,doctor assisted suicides medical power assisted the IRS ,termluster.topn5.3.qld,0.5166,doctor assisted suicides suicid case case assist ,tagmee.topn3,0.5115,doctor assisted suicides Physician Assisted suicide Suicide ,conceptluster.topn5.3.qld,0.5115,doctor assisted suicides physician suicide assisted suicide ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,jury duty exemptions ,0.0632,4,stem.trunc4,0.1894,jury duty exem ,stem.trunc5,0.1894,jury duty exemp ,word2vec.topn3,0.1709,jury duty exemptions jurors obligation ,relevancefeedback.topn10.qld,0.134,jury duty exemptions duti juri you percent claus militari from ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,human growth hormone  HGH ,0.4429,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,wrongful convictions ,0.0265,1,sensedisambiguation,0.0327,wrongful convictions conviction ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,consumer on line shopping ,0.146,5,tagmee.topn3,0.2886,consumer on line shopping Consumer Online shopping ,conceptluster.topn5.3.qld,0.2886,consumer on line shopping online shopping consumer ,wordnet.topn3,0.2494,consumer on line shopping online sponsor patronize shop at ,wiki.topn3,0.2249,consumer on line shopping return on investment business plan formal statements Consumer point of sale business to business digital marketing Online shopping ,word2vec.topn3,0.1467,consumer on line shopping customer online off line web based mall malls ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,maternity leave policies ,0.3591,2,termluster.topn5.3.qld,0.4231,maternity leave policies women week right women week right ,docluster.topn10.3.qld,0.3748,maternity leave policies week matern famili compani ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
